"","X","id","text","geo","description","likes","retweet_counts","lang","length"
"1",3015,1572256363480494080,"Please RT: looking for a charity/lawyer that can help address a school’s non-responsiveness to a student in Leeds who has been experiencing constant racial abuse and bullying from other students.","London, England","imagining 🌱","4",233,"en",1
"2",615,1575207620679725056,"I need to readjust some things in photoshop before I can comfortably work again AND IM GETTING FUCKING BULLIED BY MY FRIEND FOR NOT UNDERSTANDING THEIR ALBERT FUCKING EINSTEIN ASS TIPS, AGH I FUCKING HATE COMPUTERS https://t.co/X4tm02mSvD","In-between Junko's fat tits","Koikatsu hentai creator/ Big tits, fat asses and thick thighs are my specialty/ Obsessed with Mukuro, Takumi & Leona/ Banner by @Juno_in_June","3",0,"en",1
"3",741,1575204641184559104,"@dtqkhug WHO BULLIED YOU TELL ME THEIR NAME AND THEIR ADDRESS I WILL HURT THEM NOBODY MESSES WITH MY MOOTS","fuck cancer","☆ 🚨 I TWEET IN ALL CAPS 🚨 
☆ technoblade 👑
☆ LOVEJOY
☆ 💚🤍💙🧡 🏳‍🌈
☆ Minor
☆ any pronouns
☆ alt: @Finn_altacc","2",0,"en",1
"4",2143,1574232472598069248,"NA WHY AM I GETTING BULLYED TO PLAY FORTNITE","","my name is soda!! pronouns they/them
genshin impact, left for dead 2, crush crush, dont starve together, minecraft","2",0,"en",1
"5",3071,1572255913570111488,"@ARTPOPCHAOS @heyheedie @tearsofmilfs the point is bullying tho🤭","she/they | 18 | desi","to the boy who sought freedom, goodbye.","2",0,"en",1
"6",0,1575219410159403008,"RT @GMaabe: They Wanted My Girl Chomzy To Shy Away From Socials Because They Bullied Her😂😂😂😂Might As Well Choke Because That's Not Going To…","","Your worst nightmare.","1",6,"en",1
"7",2,1575219405834723328,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Jamaica","🍃","1",424,"en",1
"8",4,1575219365321928704,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","Katy,Texas,USA","I am a mailman who loves Los Toros and Formula 1 racing.I also love my family.I love my country🇺🇸","1",76,"en",1
"9",5,1575219351112011776,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","","I pray, not wish, because I have God, Not a Genie","1",424,"en",1
"10",6,1575219312473743360,"RT @SGomezNewsCOMs: Selena has been bullied for over a decade by her ex’s fans &amp; not once did he defend her. They sent her d*ath threats, c…","She/her","selena gomez fan account","1",208,"en",1
