,label,text,hashtag,id,follower_count,friends_count,country,retweet_count,favorite_count
0,none,RT @randi_ebooks: Twitter just switched to mongodb so they could understand it.,,13857342,19170,797,,3,0
1,none,"Because if Elliot Rodger had killed just ONE woman who had rejected him for a date, it would not be national news. #YesAllWomen",YesAllWomen,930620467,19820,258,,19,17
2,none,"@Grummz @rxptor @Spacekatgal @TheQuinnspiracy keep in mind, it's not just the volume - it's volume+vitriol. Disproportionate towards women.",,13857342,19172,797,United States,0,2
3,none,"My face every time I hear or see Kat....hope it don't get stuck
#mkr http://t.co/vPM5Td7bQo",mkr,482583016,59,39,,0,3
4,none,"Empathy is the social skill that informs all others for our species. Without it, we forfeit the right to call ourselves human.",,930620467,19820,258,,1,0
5,none,"@tmclaughbos yo, are you going to #bsdcan? @bsdtrhodes is going to be there. we could cause trouble. ;P",bsdcan,13857342,19170,797,,0,1
6,none,"Who would have thought, gracious winners (not) #MKR",MKR,166873656,172,1466,,0,0
7,none,I support Ghazi as one of the few safe venting spaces for many people that are victims of GamerGate's harassment.,,13857342,19172,797,,7,25
8,none,RT @MuricanGrlInAUS Kat and Andre are such assholes #karmaisabitch #gohome #mkr #shitcooks,karmaisabitch,67553438,89,255,,1,0
9,none,@pwreclive https://t.co/TS7xaoxoj4,,930620467,19820,258,,0,1
10,sexism,Can someone give Kat a slap across the head #mkr #bitch,mkr,1389258938,467,937,,0,1
11,sexism,RT @dylan_w_wilson Go ahead and call me sexist but I do not trust girls in a gun store.,,930620467,19820,258,,1,0
12,none,It wouldnt be fair if u stay u cooked shit #mkr #kat,mkr,529090657,730,2842,,0,0
13,none,@BenKuchera only if I can get a pass somehow :/,,13857342,19172,797,United States,0,0
14,none,@brianwisti Jesus,,13857342,19172,797,United States,0,0
15,none,The pink chick has a bad snaggletooth. Models don't #mkr,mkr,62208019,67,8,,0,0
16,none,"""A new study released today says teens are not getting enough sleep"" - no kidding? Who pays these people to say things that are obvious?",,13857342,19170,797,,4,15
17,none,It's totally amazing how people make an ass of themselves on #MKR,MKR,237559190,36,11,,0,1
18,none,@freedominguez I saw. :) I've been working directly with twitter's safety department. I have faith they want to do the right thing.,,13857342,19172,797,United States,0,0
19,none,#mkr ahhh... the dulcet tones of Robert the Texan...,mkr,108241254,101,894,,0,1
20,none,"@slagkick frost for now. still learning how to play. for bgs, seems to work well.",,13857342,19172,797,United States,0,0
21,sexism,.@SlutWalkTO @Filotto @TheGags29 @bowtie_guy14 @MyLostGadget @JustLaurenB @LostSailorNY You support the slut shaming of #NoMorePage3? Odd...,NoMorePage3,2756873076,1796,1857,,0,1
22,sexism,Kat you're fkn ass #MKR,MKR,342065781,254,199,,0,2
23,none,"#MKR #MKR2015 girls, the ice cream churner isn't broken. You just got the middle bit turned upside down.",MKR,1456883023,6,43,,0,2
24,none,"Media, microaggressions, jokes, stuff that's ""not a big deal"" feeds the dehumanization of women that leads to their deaths.",,930620467,19819,258,,5,4
25,sexism,"RT @Shermertron: @MT8_9 @Noin007 ""Why Are Women Asked About Their Dresses on the Red Carpet? Sexism!""/""Our Five Favorite Red Carpet Fashion…",,2756873076,1796,1857,,3,0
26,none,oh god oh god oh god never point a microscope at skin,,13857342,19170,797,,20,59
27,none,So I see channel 7 have found another way to drag #MKR out for an extra few months this year,MKR,51698152,856,634,,0,3
28,none,On my way to GDC. Will need to finish up a few things and then... We wait.,,13857342,19170,797,,0,10
29,none,"@tomdcc oh god that sounds like a horrible idea. privacy problems. also, twitter likely wouldn't be storing the number. that would be bad.",,13857342,19172,797,,0,0
30,sexism,@The_Loki_Jotunn ...WTF?,,2756873076,1796,1857,,0,0
31,none,#MKR #Kat &amp; #Andre - SUCKED IN! #WhoAreTheSuckersNow #KarmaIsABitch #ThatsWhatYouGetForLaughingAtOthers,MKR,24085297,650,579,,0,0
32,none,@girlziplocked @ameliagreenhall i really wish I had the time to dig more into SU - financials and such. Seems basically CxO circlejerk.,,13857342,19172,797,United States,0,0
33,sexism,@Bananaramble Two of those three are already real...,,2756873076,1796,1857,,0,0
34,none,"oh, this is bad. this is really, really bad. CW: sexual assault, DC comics. (hey, DC is bad content for some) http://t.co/HM1ZJaNAa8",,13857342,19170,797,,23,8
35,none,RT @CarSalesBossMan: I'm not sexist but http://t.co/tkYiFGEs16,,930620467,19819,258,,1,0
36,none,#mkr gozlemetastic,mkr,108241254,101,894,,0,0
37,none,SICK HIM,,13857342,19170,797,,0,5
38,none,"@mcmahoniel there's a lot of sarcasm and doublespeak in this group, especially. appropriation of terms. text filters just don't work.",,13857342,19170,797,,0,0
39,none,@encthenet the ring made me think of hackers when I bought it :),,13857342,19172,797,,1,1
40,sexism,"Kat you are a fucking cunt rash, a deadset fucking thundercunt rash #MKR",MKR,262389370,448,471,,0,0
41,none,"RT @mhoye: @freebsdgirl A year from now, somebody you'll never meet sits up in a hospital bed inexplicably worried about balanced parenthes…",,13857342,19170,797,,2,0
42,none,"Josh &amp; mum have the right combination. Adding extra bacon after a request, is the perfect touch. Well done. People like free add-ons. #mkr",mkr,382508008,376,911,,0,0
43,none,@stimpyrules i will def be there weds,,13857342,19170,797,,0,0
44,none,@qmarq @ChrisWarcraft im sitting at dinner and I'm like Chris... Chris... Chris Warcraft,,13857342,19170,797,,0,0
45,none,Reminder: A bully always hurts someone weaker than himself. He will never go after someone he isn't sure he can overwhelm physically.,,930620467,19820,258,,2,1
46,none,Fuck. #MKR,MKR,1851438134,51,170,,0,1
47,none,"What if my skin is so white it glows, and I've got blue hair? #ladylike http://t.co/s2FphAPE9S",ladylike,13857342,19172,797,United States,3,11
48,sexism,"#mkr why do all these people WANT to cook for a living? Don't they realise it's another chore, just more housework? It's fun once or twice &gt;",mkr,55508885,379,731,,0,0
49,none,#mkr 25 minutes to the next bake....... yeah.... okay.....,mkr,108241254,101,894,,0,0
50,none,I'm just so embarrassed for her. #MKR,MKR,590023803,204,879,,1,2
51,none,@Jeff_Skalski @nvidia not cool.,,13857342,19172,797,,0,1
52,none,Another. Fricking. Instant. Restaurant. Round. #mkr,mkr,1849850612,54,109,,0,1
53,none,"RT @WentRogue: Yeah, we're well aware of this threat: ""Keep that in mind next time you friendzone someone"" #YesAllWomen #UCSB http://t.co/3…",YesAllWomen,930620467,19820,258,,259,0
54,none,@TheQuinnspiracy YOU CHANGED YOUR HAIR,,13857342,19172,797,,0,2
55,none,Oh my god. @christinelove is ADORABLE. I have a crush. #gameloading,gameloading,13857342,19172,797,,0,18
56,none,"@DeaniesWienies ""the whole equality thing is getting out of hand."" I'll just leave this here",,930620467,19819,258,,0,0
57,none,@HighKush420 Looks like Cracker von Patriarch is at it again,,930620467,19820,258,,0,1
58,none,RT @sculls_6: So this season of #MKR is going to finish in which decade? Such a drag,MKR,2359256119,219,706,,1,0
59,none,These outside challenges tend to separate the genuine competition contenders from the rest of the teams #MKR,MKR,9444022,592,4953,,0,0
60,sexism,No need to apologize; no one cares about your opinion @LeggUSMC I'm not sexist but women don't belong in the infantry. Sorry.,,930620467,19820,258,,1,6
61,none,It's about harassment… and street fights? http://t.co/Vc2ILWf0fd,,13857342,19170,797,,4,14
62,none,They need 15+ to go through! #mkr,mkr,24669894,646,806,,0,0
63,none,Someone should just serve up some lines and a chocolate tube wafer for dessert #mkr,mkr,12201452,309,88,,0,0
