,id,text,geo,description,likes,retweet_counts,lang
0,1575219410159403009,RT @GMaabe: They Wanted My Girl Chomzy To Shy Away From Socials Because They Bullied Her😂😂😂😂Might As Well Choke Because That's Not Going To…,,Your worst nightmare.,0,6,en
1,1575219406581694466,@foodbad69 i have always been bullied and sexualized for my body. PLUS when i starve myself people notice it and they give me attention. that attention feels so so nice. ik im so wrong for wanting people to worry about my health but i never got love and affection that much as a kid so 🤷‍♀️,it/its she/her ★ brown ★ 20,vegetal is yum 🍅🍆🥦,0,0,en
2,1575219405834723328,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,Jamaica,🍃,0,424,en
3,1575219369084211201,"@CarlaBabbVOA @JimFraserUk Escalation (idea from @JimFraserUk ?) proves NADA.

Have you never been bullied? LAST thing to do is taunt one! Gotta put the ""man tools"" back in the pants, calm down and de-escalate. 

Be the adult in the room. 

Might want to consult with nursery room teachers.",huichin awwašte,Ohlone vegan feminist cat rescuer. My caring knows no border.,0,0,en
4,1575219365321928704,RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…,"Katy,Texas,USA",I am a mailman who loves Los Toros and Formula 1 racing.I also love my family.I love my country🇺🇸,0,76,en
5,1575219351112011777,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,,"I pray, not wish, because I have God, Not a Genie",0,424,en
6,1575219312473743362,"RT @SGomezNewsCOMs: Selena has been bullied for over a decade by her ex’s fans &amp; not once did he defend her. They sent her d*ath threats, c…",She/her,selena gomez fan account,0,208,en
7,1575219275362897920,"RT @QueenTheLaw: You have bullied the FG, NCDC, the Police, the CBN &amp; the CBN governor, the Former Minister, Anty Kemi, EFCC &amp; now you want…",Everywhere,"I love my country, I have time for a constructive debate not a childish one.

I serve a living God.",0,10,en
8,1575219267695685632,"RT @QueenTheLaw: You have bullied the FG, NCDC, the Police, the CBN &amp; the CBN governor, the Former Minister, Anty Kemi, EFCC &amp; now you want…",Abuja,Has a deep passion for Nigeria with an eagle eyed interest in politics. Je suis rogue! 👑,0,10,en
9,1575219228369899520,"RT @chrisgreybrexit: It shows all the Brexiter pathologies (e.g. expert consensus = plot, scrutiny = sabotage, criticism = treachery) &amp; mos…",Disunited Kingdom Planet Earth,Tweeting about politics. Pro truth and pro experts. Despairing of the current UK Government. RTs not always endorsements.,0,51,en
10,1575219185705066496,"Me in middle school getting bullied:

""I'm sry master, I've got to go all out. Just this once..."" https://t.co/milZZ8B8QF","Atlanta, GA",Not one of the chosen but climbing the Tower anyways,1,0,en
11,1575219156202315777,"@Victorudofia12 @Jack_ng01 😂 they can't do anything bro. 
And they know it. And I'm sure the government won't tolerate that. And the business people won't fold their hands and watch themselves be bullied. So chill","Lagos, Nigeria","Peter Obi FC... 

everything else na secondary for now.",0,0,en
12,1575219146790359040,"Hakaze! Are you alright? You're acting strange! Your puffy eyes — you were crying, weren't you? Were you being bullied by someone?",every 30 mins,bot acc,0,0,en
13,1575219108131393536,Who was sitting in there with his daddy... and yall dick rode that girl and bullied her for nothing https://t.co/eS0jVzB1oP,,Can't cry about having a lot on my plate if the goal is to eat 🤌🏽📈💛.,0,0,en
14,1575219102792425472,"RT @IngridHyrycena: I still talk about this, because sometimes I can’t believe I have survived almost 5 years of being discouraged, bullied…",NoFla,"🇺🇲/🇲🇽 Tri, #latinainSTEM biologist for FWRI-FWC/FIMS 🦈  pretty avg crossfitter🏋🏽‍♀️ donate to MISS 🌸 views my own 🌴 Inclusion Matters 🦚 she/her 🍊 FL",0,1,en
15,1575219097448710149,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,,"Everything is a joke, especially myself. Struggle tweet account. I do not have a foot fetish.",0,424,en
16,1575219086124253184,Bitch honestly stfu your not valid your making a sexuality out of a person that you’ll never meet in your entire life please stfu. your gonna get bullied all to hell for this and you deserve every last insult https://t.co/bJILlKOf8U,Georgia,You local brown cabbit! 🤎 18 Very Gay,0,0,en
17,1575219058391150592,"Nothing changes with these
#MeanGirls 
@SenatorWong @SenKatyG STILL trying to BULLY @PaulineHansonOz while supporting #TOXIC @MehreenFaruqi 

THESE TWO WOMEN HAVE FORM &amp; BULLIED A COLLEAGUE TO COMMIT SUICIDE!
#ShameOnYou #auspol https://t.co/Sqfy8nrer6","Melbourne, Victoria",,0,0,en
18,1575219032353275905,watching a zebra get bullied on animal planet rn,,this is my own private domicile and i will not be harassed,0,0,en
19,1575218987851739136,@Sleeping_corgi1 @proanaextaciee @lovexme333 @fatfabfeminist No fat activists simply want fat to not be harassed bullied or discriminated against it is not the same as people encouraging others to damage their health not the same as harassing random fat people who didn't do anything to do but exist as a fat individual,she/they,"Blackhaired Joon Supremacist
Taes dealer 
STREAM JACK IN THE BOX
21
🏳️‍🌈🏳️‍🌈🇧🇩
Toronto",0,0,en
20,1575218983824814080,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,Hogwarts,Jessica Ravenclaw,0,424,en
21,1575218951164153856,RT @innanetjames: @RubbaBandDaRula niggas needa start gettin bullied. ain’t no shame out here no more,NOLA,Erotic Author 📃 Amethyst Xoriah 👼🏾.🤞🏾Not Rod Wave 🛑,0,176,en
22,1575218900178206720,"@JoeBucki18 @RSSkeptic @OmarRiverosays Nah. If it was Bush, yes. But, Trump isn't just a former Pres. with bad policies, he is someone who has robbed, incited, frauded and bullied his way in life. I'd rather set a good example for my daughter of ethics and principles being worth more than the candy store visit.","New York, USA",1st & foremost I'm her(🇺🇸🇭🇳) mommy. Honesty & Kindness matters. Ethics matter. Apathy is complicity. History (SBU) my passion #nevertrump DEM. Gamer PS5,0,0,en
23,1575218850081042433,@opiemuyo @Alyssa3467 @Counterfeit_Sol @nikko_hill @nbcwashington 50% kill themselves because they're bullied and abused and your position on this matter actively aids the people doing the abusing and bullying.,"Frisco, TX","Hiya, I'm Kilo the Thresher Shark! 
 Infirmary Nurse, Punk boi, Gremlin, 25

Likes/repliesNSFW, 18+ ONLY please! 
ref/pfp:@furscribbles ❤️@nickithedeox",0,0,en
24,1575218826639450113,Nah they was tryna get you bullied lmaoo https://t.co/s6mg3ydb3V,"KING COUNTY, FEDERAL WAY",FBT SDL,0,0,en
25,1575218816187244545,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,Camp Crystal Lake ,United States Navy NCAT 14 Eagles 2018 Super Bowl Champs 🏆🏆🏆🏆,0,424,en
26,1575218779134386177,RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…,"California, USA","mom, sister, aunt, friend, neighbor, weaver. weaving the web that is my life and looking for the way forward. be kind. happy to follow you but PLEASE DON’T DM.",0,76,en
27,1575218775502516224,"RT @_whitneywebb: I was pregnant and gave birth while the vaccine rollout was happening and at every stage, including when my son was 2 mon…",Croatia,"Only two things are infinite, the universe and human stupidity, and I'm not sure about the former. Albert Einstein",0,1520,en
28,1575218772373274631,How do I deal with my sister getting cyber bullied in a mature adult way 😮‍💨 kids these days are way too stupid online with threats 😒,,"23
I post pictures of my dog and cool places I go since I have terrible memory and need somewhere to store them",0,0,en
29,1575218769852796928,"RT @BBCPanorama: Undercover Hospital: Patients at Risk

Secret filming reveals evidence of a toxic staff culture, patients being taunted an…",,"Clinical psychologist;passionate about kind, human  communities.🧘‍♀️",0,25,en
30,1575218767017443328,"RT @tito_mboweni: The day a central bank is bullied by their government, “.cry the beloved country”. Why is the UK government bullying the…",Johannesburg,Entrepreneur,0,9,en
31,1575218677724884992,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,"Johannesburg, South Africa",,0,424,en
32,1575218645252206592,RT @EuginhoCortez: One reason why I'm very keen on devolution that strengthens the LGA tier is the need to make it very difficult to have a…,"Oil Club, Manchester ","Well... Man City, Barcelona... I love Suya",0,3,en
33,1575218626587545600,"RT @thesixwriter: I like that we’re beginning to take more of a stand as young Ghanaians. We won’t be bullied with seniority or age. 

Do y…","Spintex , Accra Gh",Accounting || Real Madrid || Milwaukee Bucks,0,166,en
34,1575218620460068864,"RT @BBCNWT: BBC Panorama went undercover and found patients being humiliated, verbally abused and bullied by staff
https://t.co/EXwZEZkKvC",,Work @mencap_charity & Patron @includetweets & @DanceSyndromeUK & trustee @h2htheatre & @sunnybankepsom & Ambassador @eveappeal & All Views are All my Own,0,12,en
35,1575218574209306625,"The unable to be Twitter-bullied/The Petty Tweeter lmaoooo 😭💀 

Bc I ain't deleting shit I said 🤷🏽‍♂️ I'ma stand 10 toes down, ff you don't like it too bad. For that reason, it's staying up lol https://t.co/kdLCgWl1Xb",Brooklyn ➡️ // Chicagoland📍,"Singer/songwriter/producer/voice actor & MORE! 

He/Him/His 

Moonchild ♋🔮 BLM 🖤 ✊🏽 

IG: iamblacklight
Tiktok: iamblacklight
Official site in the link below",0,0,en
36,1575218534581358592,RT @tomwambsgays: he's listening to G.I.N.A.S.F.S. by Fall Out Boy in his iPod after his youth hostel roommates bullied him :'( #greghirsch…,"17.7500° N, 142.5000° E","《ƒιgнт мє, уσυ ¢єяαмι¢ вιт¢н》 she/her, 24. i'm the oldest, which means i'm always right // Faintly Macabre, the not-so-wicked Which, meets untempered schism ✌🤪",0,43,en
37,1575218491057401856,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,"Johannesburg, South Africa","radical candour.
queer. 
uses the same GIFs excessively. 
rarely seen without a glass of wine. 
a melange of contradictions. 
armond lizzo.",0,424,en
38,1575218468928237568,"All the pp who bullied, made fun, harrassed, shamed &amp; resented pp for sayin mRNA enters the bloodstream &amp; other tissues are AWFULLY QUIET today. What's a matter, you have no integrity or decency to apologise for your atrocious immature behavior after being proved FACTUALLY WRONG?",Somewhere free falling...,"A masterpiece trying to master peace... usually from the blue skies. #Opal

#FightingForTheDisabledsRightToDignityOfLifeThruPainRelief

🎨🩺💆‍♀️🪂🏀⚽️⛪️🌊🌴🐈",0,0,en
39,1575218463458865153,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,,🇳🇬 | Jersey | 1906 | Psalms 16:8,0,424,en
40,1575218437793935360,"RT @thesixwriter: I like that we’re beginning to take more of a stand as young Ghanaians. We won’t be bullied with seniority or age. 

Do y…",,💚🤎eunoia🤎💚,0,166,en
41,1575218391568171008,"RT @AlisonHoltBBC: Disturbing report from @BBCPanorama. Undercover investigation finds 'toxic culture' at a mental health hospital, with so…",,Mother to amazing beautiful daughter's and amazing beautiful son’s,0,8,en
42,1575218390620602368,"Former bullied kids, what’s the most creative someone ever got with an insult? Somone once told me, “You look like Princess Fiona from Shrek, but not when she’s human, when she’s the ugly ogre.” 😂😂","North Carolina, USA",@mikaylablaire | I’ve been on Twitter forever but finally wanted to take the jump and make a Taylor Twitter! Swiftie since 2006. The #1 Speak Now stan.,0,0,en
43,1575218390117289984,@faithandseven @Loren017Mary @hrrysgreysuit @katienicholl Thanks for providing the actual evidence that TRH's William &amp; Catherine racially bullied Rachel &amp; her faux kids - it was an interesting read!!!!!🙄🤡,Jockland.,Here for the Royal Tea!,0,0,en
44,1575218376007618560,"RT @MercyMuroki: I was bullied in school by other brown kids for 'not acting black'.

Why? Because I liked books, was studious, eloquent, a…","East Midlands, England",,0,817,en
45,1575218371905617921,"@GlynisSpencer @Notintheface1 @BudrykZack @JordanMBKing She shouldn’t have to and so she won’t. How about you accept your role in this and practice self control? She and Harry won’t be bullied into complete invisibility, in order for you to leave her alone.",,Service is universal. A Brazen Hussy who still believes in Humanity 🤓.,0,0,en
